param_combination,rank,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,overfit_score,learning_rate,max_depth,n_estimators,subsample
learning_rate=0.1_max_depth=5_n_estimators=500_subsample=0.5,1,-0.086659864760535,0.03421714344155026,-0.0018410848834393616,0.0014534122502275492,14.454031944274902,1.7378771618916045,0.050570170084635414,0.0026264788901804136,0.08481877987709564,0.1,5,500,0.5
learning_rate=0.01_max_depth=7_n_estimators=500_subsample=0.5,2,-0.08677473701973941,0.03420234978078897,-0.01668269376034996,0.003929694440405213,48.24813985824585,9.128108258907604,0.12900559107462564,0.02484622339572137,0.07009204325938945,0.01,7,500,0.5
learning_rate=0.1_max_depth=5_n_estimators=300_subsample=0.5,3,-0.0875261853823489,0.03384507198837208,-0.005414072200965222,0.003404585663099905,10.021968126296997,1.2609499020171608,0.04626011848449707,0.006155466856035289,0.08211211318138367,0.1,5,300,0.5
learning_rate=0.1_max_depth=7_n_estimators=500_subsample=0.5,4,-0.08896827953082455,0.03933875106220676,-9.114464919430275e-05,8.914187966623197e-05,40.00295066833496,7.787938467667266,0.1176303227742513,0.04806576870711365,0.08887713488163025,0.1,7,500,0.5
learning_rate=0.1_max_depth=7_n_estimators=300_subsample=0.5,5,-0.0891028033402642,0.03944145375428353,-0.0007626920770955675,0.000592763629147477,24.628187259038288,5.155162619823831,0.07399225234985352,0.014412778268921282,0.08834011126316864,0.1,7,300,0.5
learning_rate=0.01_max_depth=5_n_estimators=500_subsample=0.5,6,-0.09042055941951758,0.0286891971776764,-0.03484360526833314,0.007932325443605899,17.640247980753582,4.267333982248289,0.08821447690327962,0.05010658538795659,0.055576954151184445,0.01,5,500,0.5
learning_rate=0.1_max_depth=7_n_estimators=100_subsample=0.5,7,-0.09067776280080697,0.040016288263240135,-0.008422973688708672,0.0030687187203891973,8.027517557144165,0.9659289164235384,0.0312348206837972,0.002627978398835737,0.0822547891120983,0.1,7,100,0.5
learning_rate=0.1_max_depth=5_n_estimators=100_subsample=0.5,8,-0.09157443902810429,0.034097123378057086,-0.021516010142373726,0.007378689978128327,3.6993297735850015,0.48178828831202486,0.03595868746439616,0.0035580560776909136,0.07005842888573056,0.1,5,100,0.5
learning_rate=0.01_max_depth=7_n_estimators=300_subsample=0.5,9,-0.09263816839358985,0.03166392962567155,-0.030993712099901673,0.004132133545212887,28.066234429677326,4.224956926870473,0.05804038047790527,0.005950016461779881,0.06164445629368817,0.01,7,300,0.5
learning_rate=0.1_max_depth=3_n_estimators=500_subsample=0.5,10,-0.09406740570970458,0.03136579108136057,-0.014925495943238554,0.007354352333602037,5.730878512064616,0.41670602302849974,0.03976027170817057,0.006368111106944474,0.07914190976646603,0.1,3,500,0.5
learning_rate=0.1_max_depth=3_n_estimators=500_subsample=1.0,11,-0.0944104761455598,0.029106354936780498,-0.01564953189729351,0.00777893316921382,5.599356730779012,0.7478815630673492,0.03537170092264811,0.0016881378902219967,0.07876094424826628,0.1,3,500,1.0
learning_rate=0.1_max_depth=3_n_estimators=500_subsample=0.8,12,-0.09469685304465791,0.029121912383425323,-0.014149384783451081,0.007278923421570234,5.916105190912883,0.8155711021297787,0.03934049606323242,0.006886701836686018,0.08054746826120683,0.1,3,500,0.8
learning_rate=0.1_max_depth=3_n_estimators=300_subsample=0.5,13,-0.09493561798593642,0.030665060358146642,-0.024443009384371602,0.00931569977266229,3.5282750129699707,0.46096247771125926,0.028903643290201824,0.000535030498280765,0.07049260860156481,0.1,3,300,0.5
learning_rate=0.1_max_depth=3_n_estimators=300_subsample=1.0,14,-0.09576883554523029,0.02914574121820274,-0.024154640145267137,0.009388168273110972,2.9167703787485757,0.8122408336399777,0.036345879236857094,0.004075644921865838,0.07161419539996315,0.1,3,300,1.0
learning_rate=0.1_max_depth=3_n_estimators=300_subsample=0.8,15,-0.09598727034493393,0.0292845468087754,-0.02300329744460743,0.009228124894192152,2.822071154912313,0.20449943862542444,0.03213938077290853,0.0046829021587607,0.0729839729003265,0.1,3,300,0.8
learning_rate=0.1_max_depth=5_n_estimators=500_subsample=0.8,16,-0.09632974936100062,0.04771083987156706,-0.0014117440152311104,0.001224299205861426,15.81331960360209,2.03380865724457,0.06126817067464193,0.009719159820228808,0.09491800534576951,0.1,5,500,0.8
learning_rate=0.1_max_depth=5_n_estimators=300_subsample=0.8,17,-0.09690821925626304,0.04749955257033363,-0.004361496103616833,0.003013826948828459,10.07332468032837,1.5148542268528482,0.04506723086039225,0.007367325406160724,0.09254672315264621,0.1,5,300,0.8
learning_rate=0.1_max_depth=7_n_estimators=500_subsample=0.8,18,-0.09709017022422266,0.0512001118923532,-4.2088864450644246e-05,4.321356455743704e-05,39.97193384170532,3.384578106050716,0.10524940490722656,0.013707135599151793,0.09704808135977201,0.1,7,500,0.8
learning_rate=0.1_max_depth=7_n_estimators=300_subsample=0.8,19,-0.09722811997402286,0.05111590811575638,-0.0004085812314537332,0.0003581433840086239,23.344375212987263,3.306656234585809,0.059238274892171226,0.00022614152696455564,0.09681953874256913,0.1,7,300,0.8
learning_rate=0.01_max_depth=7_n_estimators=500_subsample=0.8,20,-0.09759084199646124,0.04692775499500478,-0.010390775203127246,0.004028457155576886,51.18431806564331,11.643023024410102,0.11163536707560222,0.0352738268564517,0.087200066793334,0.01,7,500,0.8
