feature,importance
lag_8d_Can Tho_Water Level,0.17150733
lag_16d_Dai Ngai_Water Level,0.024619617
lag_34d_Chau Doc_Water Level,0.014484927
lag_8d_Dai Ngai_Water Level,0.0140884435
lag_21d_Chau Doc_Water Level,0.013011589
lag_88d_Chau Doc_Water Level,0.010372762
lag_89d_Chau Doc_Water Level,0.009115709
lag_9d_Can Tho_Rainfall,0.008387359
lag_1d_Chau Doc_Water Level,0.008328279
lag_4d_Chau Doc_Water Level,0.007701316
lag_31d_Dai Ngai_Rainfall,0.0075444076
lag_25d_Chau Doc_Rainfall,0.0071924897
lag_26d_Chau Doc_Water Level,0.0056191757
lag_87d_Can Tho_Water Level,0.005413459
lag_24d_Dai Ngai_Water Level,0.0053469595
lag_87d_Dai Ngai_Water Level,0.0049292184
lag_25d_Can Tho_Water Level,0.004542156
lag_28d_Can Tho_Water Level,0.0044411058
lag_42d_Chau Doc_Water Level,0.0042744614
lag_9d_Chau Doc_Water Level,0.0041875266
lag_15d_Can Tho_Water Level,0.004097752
lag_25d_Chau Doc_Water Level,0.0038753035
lag_35d_Dai Ngai_Water Level,0.0038140179
lag_54d_Chau Doc_Water Level,0.0037645726
lag_87d_Chau Doc_Water Level,0.0036521705
lag_38d_Dai Ngai_Water Level,0.0035750053
lag_86d_Dai Ngai_Water Level,0.0035566967
lag_30d_Dai Ngai_Water Level,0.0035130081
lag_87d_Can Tho_Rainfall,0.00349598
lag_29d_Can Tho_Water Level,0.0034771385
lag_47d_Can Tho_Water Level,0.0034561062
lag_82d_Dai Ngai_Water Level,0.0034473361
lag_15d_Dai Ngai_Rainfall,0.0034313241
lag_84d_Chau Doc_Water Level,0.0034009756
lag_67d_Chau Doc_Water Level,0.0033517152
lag_1d_Can Tho_Water Level,0.0033454709
lag_7d_Can Tho_Rainfall,0.0033146867
lag_32d_Dai Ngai_Rainfall,0.0032297063
lag_32d_Dai Ngai_Water Level,0.0032173877
lag_27d_Dai Ngai_Water Level,0.0032062693
lag_74d_Dai Ngai_Water Level,0.003135438
lag_43d_Dai Ngai_Water Level,0.0031244808
lag_16d_Can Tho_Water Level,0.0030875516
lag_52d_Chau Doc_Water Level,0.0030802004
lag_43d_Chau Doc_Water Level,0.0030653577
lag_42d_Dai Ngai_Water Level,0.003050718
lag_60d_Dai Ngai_Water Level,0.0030466616
lag_51d_Dai Ngai_Water Level,0.0030100283
lag_83d_Can Tho_Water Level,0.0029661057
lag_83d_Dai Ngai_Rainfall,0.0029612603
lag_74d_Can Tho_Water Level,0.0029265403
lag_63d_Can Tho_Rainfall,0.0028952952
lag_86d_Can Tho_Water Level,0.0028910493
lag_52d_Dai Ngai_Water Level,0.0028743453
lag_68d_Dai Ngai_Water Level,0.0028734547
lag_90d_Dai Ngai_Water Level,0.002826655
lag_61d_Chau Doc_Water Level,0.002772927
lag_17d_Can Tho_Water Level,0.0027723769
lag_55d_Chau Doc_Water Level,0.0027720183
lag_73d_Chau Doc_Rainfall,0.0027668423
lag_88d_Can Tho_Rainfall,0.00274572
lag_50d_Chau Doc_Water Level,0.0027369247
lag_24d_Chau Doc_Rainfall,0.0026967172
lag_46d_Dai Ngai_Water Level,0.0026731018
lag_27d_Dai Ngai_Rainfall,0.0026496728
lag_50d_Dai Ngai_Water Level,0.0026460057
lag_38d_Can Tho_Water Level,0.0026409214
lag_6d_Can Tho_Rainfall,0.0026405996
lag_76d_Dai Ngai_Water Level,0.0026344925
lag_46d_Can Tho_Water Level,0.002615996
lag_16d_Can Tho_Rainfall,0.0025794664
lag_29d_Dai Ngai_Water Level,0.0025726797
lag_40d_Dai Ngai_Water Level,0.0025704848
lag_13d_Dai Ngai_Water Level,0.002567185
lag_22d_Can Tho_Water Level,0.0025169502
lag_41d_Can Tho_Water Level,0.00251386
lag_18d_Chau Doc_Water Level,0.0025067937
lag_33d_Chau Doc_Rainfall,0.0025005278
lag_12d_Chau Doc_Rainfall,0.0024891866
lag_19d_Can Tho_Water Level,0.0024885105
lag_17d_Chau Doc_Water Level,0.0024568858
lag_79d_Dai Ngai_Water Level,0.0024481246
lag_2d_Chau Doc_Water Level,0.0024264497
lag_15d_Can Tho_Rainfall,0.0024046672
lag_21d_Dai Ngai_Water Level,0.0023837092
lag_54d_Can Tho_Water Level,0.0023783254
lag_12d_Dai Ngai_Water Level,0.0023645046
lag_19d_Dai Ngai_Water Level,0.0023629852
lag_79d_Chau Doc_Water Level,0.0023521066
lag_77d_Chau Doc_Water Level,0.0023500386
lag_52d_Chau Doc_Rainfall,0.002304692
lag_88d_Can Tho_Water Level,0.0022874393
lag_60d_Can Tho_Water Level,0.0022862644
lag_88d_Dai Ngai_Water Level,0.0022460045
lag_83d_Chau Doc_Rainfall,0.0022287888
lag_75d_Chau Doc_Rainfall,0.0022287231
lag_30d_Can Tho_Water Level,0.0022261753
lag_14d_Dai Ngai_Rainfall,0.0022219555
lag_77d_Dai Ngai_Water Level,0.0022107374
lag_5d_Can Tho_Rainfall,0.0021925652
lag_54d_Dai Ngai_Water Level,0.0021863955
lag_83d_Chau Doc_Water Level,0.002181291
lag_37d_Dai Ngai_Water Level,0.002173567
lag_20d_Dai Ngai_Water Level,0.0021637955
lag_36d_Chau Doc_Rainfall,0.002162416
lag_62d_Dai Ngai_Water Level,0.0021620076
lag_78d_Can Tho_Water Level,0.0021383588
lag_12d_Dai Ngai_Rainfall,0.0021335776
lag_84d_Dai Ngai_Water Level,0.0021139097
lag_2d_Can Tho_Water Level,0.0021034488
lag_80d_Dai Ngai_Water Level,0.0020947026
lag_71d_Chau Doc_Water Level,0.0020927466
lag_62d_Can Tho_Water Level,0.0020766093
lag_59d_Dai Ngai_Water Level,0.0020742684
lag_90d_Chau Doc_Water Level,0.002074168
lag_81d_Can Tho_Water Level,0.0020506617
lag_67d_Dai Ngai_Water Level,0.002046898
lag_34d_Dai Ngai_Water Level,0.0020427057
lag_55d_Can Tho_Water Level,0.002039401
lag_82d_Can Tho_Water Level,0.002034404
lag_20d_Can Tho_Water Level,0.0020313852
lag_6d_Chau Doc_Water Level,0.002022694
lag_90d_Can Tho_Water Level,0.0020225842
lag_33d_Can Tho_Water Level,0.0020163255
lag_85d_Chau Doc_Water Level,0.0020057557
lag_7d_Chau Doc_Rainfall,0.0020049785
lag_35d_Chau Doc_Water Level,0.0019854354
lag_58d_Can Tho_Water Level,0.00196965
lag_85d_Dai Ngai_Water Level,0.0019601518
lag_50d_Can Tho_Water Level,0.0019561283
lag_47d_Chau Doc_Rainfall,0.0019490232
lag_75d_Chau Doc_Water Level,0.0019354532
lag_12d_Can Tho_Rainfall,0.0019301665
lag_32d_Can Tho_Rainfall,0.001927284
lag_14d_Can Tho_Rainfall,0.0019228297
lag_15d_Chau Doc_Rainfall,0.0019177548
lag_78d_Chau Doc_Water Level,0.0019107396
lag_53d_Can Tho_Water Level,0.0019001674
lag_74d_Chau Doc_Rainfall,0.0018967274
lag_58d_Dai Ngai_Water Level,0.0018899826
lag_13d_Chau Doc_Water Level,0.0018861137
lag_14d_Chau Doc_Water Level,0.00186333
lag_23d_Chau Doc_Rainfall,0.0018555005
lag_66d_Chau Doc_Rainfall,0.0018534709
lag_2d_Dai Ngai_Rainfall,0.0018474013
lag_61d_Dai Ngai_Water Level,0.0018384217
lag_78d_Dai Ngai_Water Level,0.0018362904
lag_57d_Can Tho_Rainfall,0.0018140166
lag_39d_Chau Doc_Rainfall,0.0018092333
lag_59d_Chau Doc_Water Level,0.0018083651
lag_70d_Dai Ngai_Water Level,0.0017947565
lag_10d_Chau Doc_Water Level,0.0017870415
lag_45d_Dai Ngai_Water Level,0.0017861706
lag_58d_Chau Doc_Water Level,0.0017632049
lag_77d_Can Tho_Water Level,0.0017588325
lag_49d_Can Tho_Water Level,0.0017555181
lag_13d_Can Tho_Water Level,0.0017471777
lag_73d_Dai Ngai_Water Level,0.0017465045
lag_83d_Dai Ngai_Water Level,0.0017381562
lag_33d_Dai Ngai_Rainfall,0.001732991
lag_57d_Dai Ngai_Water Level,0.0017272467
lag_22d_Chau Doc_Rainfall,0.00171319
lag_69d_Dai Ngai_Water Level,0.0017018068
lag_81d_Chau Doc_Rainfall,0.0017006071
lag_69d_Chau Doc_Water Level,0.0016909292
