mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5.77156662940979,0.9178815438472078,0.06492042541503906,0.004943860928537024,0.01,3,100,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",-0.14042335947130577,-0.1333905275284077,-0.11732780596709882,-0.13038056432227074,0.0096659559552464,80,-0.1334772242363546,-0.13124876366006405,-0.13127451607906718,-0.1320001679918286,0.0010444893996242241
7.768276214599609,3.410059202383718,0.07457264264424641,0.014173684819276043,0.01,3,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.13650387679811202,-0.1334975583754749,-0.11720313741060084,-0.1290681908613959,0.008479155133118704,79,-0.13147711622948752,-0.13151242844671704,-0.13206698516856136,-0.1316855099482553,0.0002701286680479999
7.086416641871135,0.8095868737320908,0.06540544827779134,0.003983125606360973,0.01,3,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-0.13824052917006008,-0.13425640786728324,-0.11895585380675461,-0.1304842636146993,0.008312499831127687,81,-0.13004646528475125,-0.13118156909758988,-0.13242676785039348,-0.13121826741091153,0.0009721008694750542
17.595651865005493,2.604764335975396,0.09886932373046875,0.029580007947501884,0.01,3,300,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.5}",-0.10637770116638029,-0.08940691516536725,-0.05481002278170149,-0.08353154637114968,0.021458430081554843,32,-0.05560030300389146,-0.06471382514343109,-0.06945833239789416,-0.06325748684840557,0.005750474507576401
12.171783447265625,2.1758351601468338,0.06290745735168457,0.007783705216896955,0.01,3,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-0.09734136404019117,-0.08961046816974563,-0.05445034361622794,-0.08046739194205492,0.01866559741755279,25,-0.05048512539344985,-0.06527840961952064,-0.07134769163571256,-0.06237040888289435,0.008761811790049064
12.022133111953735,2.028785500723215,0.05957651138305664,0.0020799214420608755,0.01,3,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-0.09939606331623874,-0.0907346950317902,-0.05535860821798931,-0.08182978885533942,0.01904901359460426,29,-0.05003212524196772,-0.0653808777336581,-0.07133231444047099,-0.06224843913869893,0.008973429059781666
26.069215615590412,8.88371797082877,0.0799425443013509,0.023840510025335375,0.01,3,500,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.5}",-0.11379760225193256,-0.08430276496466571,-0.047614027958064395,-0.08190479839155422,0.02707248368537461,30,-0.03919727072527518,-0.05157294414375754,-0.05681028070211255,-0.049193498523715094,0.007384707225300026
18.01315649350484,2.805052226789023,0.06229631106058756,0.0025142761866363966,0.01,3,500,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",-0.09732983362601245,-0.08412610566054624,-0.047234655325461006,-0.07623019820400656,0.021199697138759462,3,-0.03483274592376746,-0.05116532494981741,-0.057535607919653675,-0.047844559597746174,0.009561227173457783
19.980881770451862,1.9132419247071026,0.0800932248433431,0.028171734083301602,0.01,3,500,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",-0.09873822238955329,-0.08600239479320403,-0.04815032756889193,-0.0776303149172164,0.02148414247274815,8,-0.0342351348584369,-0.052905159734114846,-0.05782646941789162,-0.048322254670147786,0.01016169377918963
10.81070073445638,1.8720672857724674,0.05200767517089844,0.0014076892072557895,0.01,5,100,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",-0.1358995215576729,-0.12673750561974786,-0.10336042125003117,-0.12199914947581732,0.013700055387180884,73,-0.11103313562318202,-0.10864099977233732,-0.10823256419373797,-0.10930223319641912,0.0012352387930266132
13.061126947402954,0.9420445421526825,0.0690142313639323,0.016014054413209376,0.01,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-0.1345303535009606,-0.12648159938244916,-0.10417232411170801,-0.12172809233170591,0.012841322856590233,72,-0.10264383715844874,-0.10386763446336025,-0.10553152136353697,-0.10401433099511533,0.0011834469207645743
12.334349234898886,1.9018292445073421,0.058493852615356445,0.005833091412415321,0.01,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",-0.1405168694105771,-0.12751731950108297,-0.10530556565260352,-0.12444658485475453,0.01453801995998062,77,-0.09907282532784371,-0.10171296211421396,-0.10400823970571901,-0.1015980090492589,0.002016513397871266
35.21453444163004,5.2425346305960705,0.09746400515238444,0.01898632609152345,0.01,5,300,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.5}",-0.11043934726983431,-0.08130440424000293,-0.045139100200175794,-0.07896095057000435,0.02671016533291129,13,-0.033259748126751164,-0.04124516753006958,-0.04365571009282443,-0.03938687524988172,0.004442892747521207
