param_combination,rank,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,overfit_score,learning_rate,max_depth,n_estimators,subsample
learning_rate=0.01_max_depth=5_n_estimators=500_subsample=0.8,1,-0.0743479174802375,0.02961662193843719,-0.020832161105791145,0.005762640526118725,57.01878237724304,13.559914095201973,0.09043693542480469,0.006457572280863492,0.05351575637444636,0.01,5,500,0.8
learning_rate=0.01_max_depth=5_n_estimators=500_subsample=1.0,2,-0.07472469852303508,0.029092884488749592,-0.019773019522951043,0.006547396597559536,54.8838099638621,7.493153619281512,0.18335477511088052,0.06269814164097547,0.05495167900008403,0.01,5,500,1.0
learning_rate=0.01_max_depth=3_n_estimators=500_subsample=0.8,3,-0.07623019820400656,0.021199697138759462,-0.047844559597746174,0.009561227173457783,18.01315649350484,2.805052226789023,0.06229631106058756,0.0025142761866363966,0.028385638606260387,0.01,3,500,0.8
learning_rate=0.1_max_depth=5_n_estimators=500_subsample=0.8,4,-0.07667268542652537,0.035662185584894646,-0.0005435422313991417,0.0004866969641544471,51.81877684593201,9.28657213735526,0.11983807881673177,0.033059741198014296,0.07612914319512623,0.1,5,500,0.8
learning_rate=0.01_max_depth=5_n_estimators=300_subsample=0.8,5,-0.07686005901842959,0.024967974003127315,-0.03321932667057645,0.00617846050569103,40.049304167429604,9.391824858444682,0.09564963976542155,0.01652689874264643,0.04364073234785314,0.01,5,300,0.8
learning_rate=0.1_max_depth=5_n_estimators=300_subsample=0.8,6,-0.07690551976886555,0.035569939385078936,-0.0020344996226844517,0.0014812611595106918,33.74043313662211,6.662739795175416,0.09786423047383626,0.01164291286873853,0.07487102014618109,0.1,5,300,0.8
learning_rate=0.01_max_depth=7_n_estimators=300_subsample=0.5,7,-0.07730960425777846,0.030104402851944774,-0.025313766288150765,0.0021623104173003776,87.09626626968384,21.09907005572403,0.19554861386617026,0.0700468040480007,0.05199583796962769,0.01,7,300,0.5
learning_rate=0.01_max_depth=3_n_estimators=500_subsample=1.0,8,-0.0776303149172164,0.02148414247274815,-0.048322254670147786,0.01016169377918963,19.980881770451862,1.9132419247071026,0.0800932248433431,0.028171734083301602,0.02930806024706862,0.01,3,500,1.0
learning_rate=0.1_max_depth=5_n_estimators=500_subsample=1.0,9,-0.0776827371789975,0.03919153520366774,-0.0008987074266433079,0.0007808236194052092,48.74129136403402,1.1222706902069135,0.20662999153137207,0.1607912371978336,0.0767840297523542,0.1,5,500,1.0
learning_rate=0.1_max_depth=5_n_estimators=300_subsample=1.0,10,-0.07785542733451567,0.038913941743805226,-0.002812855404009499,0.0020636323761728413,30.0535675684611,0.805467129970237,0.0961758295694987,0.015206490191137708,0.07504257193050617,0.1,5,300,1.0
learning_rate=0.01_max_depth=5_n_estimators=300_subsample=1.0,11,-0.07848526312484441,0.026662530848387718,-0.03129150682497595,0.006725098294534424,34.97636389732361,4.790784174762267,0.07916847864786784,0.016848964693838283,0.04719375629986846,0.01,5,300,1.0
learning_rate=0.01_max_depth=5_n_estimators=500_subsample=0.5,12,-0.07855769036807578,0.03275026071199231,-0.026229173239342596,0.005157927854140977,53.762336095174156,16.377488745636995,0.10793844858805339,0.034851504941814916,0.05232851712873318,0.01,5,500,0.5
learning_rate=0.01_max_depth=5_n_estimators=300_subsample=0.5,13,-0.07896095057000435,0.02671016533291129,-0.03938687524988172,0.004442892747521207,35.21453444163004,5.2425346305960705,0.09746400515238444,0.01898632609152345,0.03957407532012263,0.01,5,300,0.5
learning_rate=0.01_max_depth=7_n_estimators=500_subsample=0.5,14,-0.07897463305706143,0.03649781120856886,-0.014266749885307286,0.002936986640587833,124.51672379175822,12.21056894132702,0.2560965220133464,0.08158781630010183,0.06470788317175415,0.01,7,500,0.5
learning_rate=0.1_max_depth=3_n_estimators=300_subsample=1.0,15,-0.07909608444998585,0.02658848225292639,-0.016162606402588233,0.0076871088487912385,11.555644591649374,1.0464217772737565,0.07920622825622559,0.015448665581561789,0.06293347804739761,0.1,3,300,1.0
learning_rate=0.1_max_depth=3_n_estimators=500_subsample=1.0,16,-0.07919627476373335,0.026842754780235963,-0.009477802130012475,0.005381820496872478,19.484689871470135,3.2799497880826474,0.07480136553446452,0.010148363840219717,0.06971847263372087,0.1,3,500,1.0
learning_rate=0.1_max_depth=5_n_estimators=100_subsample=0.8,17,-0.07922568568068998,0.03374866720161302,-0.011999256756909842,0.004945100416767525,11.930519342422485,2.52438665251843,-0.18888425827026367,0.3597453336392102,0.06722642892378014,0.1,5,100,0.8
learning_rate=0.3_max_depth=3_n_estimators=100_subsample=1.0,18,-0.0792713845311875,0.02088553389491454,-0.016531098120349138,0.0075048652256669325,4.6169774532318115,1.5357408247616051,0.1309784253438314,0.10005009978202022,0.06274028641083836,0.3,3,100,1.0
learning_rate=0.1_max_depth=5_n_estimators=100_subsample=1.0,19,-0.07934485740363044,0.037338124136605255,-0.011931016738637371,0.005449215871332593,12.163841168085733,1.8512540813194094,0.07364281018575032,0.006958300209874437,0.06741384066499306,0.1,5,100,1.0
learning_rate=0.1_max_depth=3_n_estimators=100_subsample=1.0,20,-0.07966916330454005,0.02572263768614921,-0.03497423959749138,0.010590321684150096,4.419862190882365,0.9525350428553412,0.057994683583577476,0.0037160709631927358,0.04469492370704867,0.1,3,100,1.0
learning_rate=0.3_max_depth=3_n_estimators=300_subsample=1.0,21,-0.0798910750479599,0.021916294265302422,-0.004152312684175333,0.002973136139925701,12.91142209370931,3.6793090722316815,0.07615033785502116,0.014597796549706754,0.07573876236378457,0.3,3,300,1.0
