feature,importance
lag_1d_Chau Doc_Water Level,0.39496347
lag_7d_Dai Ngai_Water Level,0.19003734
lag_2d_Dai Ngai_Water Level,0.063348725
lag_1d_Can Tho_Water Level,0.044841632
lag_7d_Can Tho_Water Level,0.03569
lag_4d_Can Tho_Water Level,0.032748044
lag_3d_Chau Doc_Water Level,0.030921455
lag_5d_Dai Ngai_Water Level,0.028248828
lag_4d_Dai Ngai_Water Level,0.02789174
lag_7d_Chau Doc_Water Level,0.024322676
lag_4d_Chau Doc_Water Level,0.013183311
lag_6d_Dai Ngai_Water Level,0.012603974
lag_6d_Can Tho_Water Level,0.012038565
lag_6d_Chau Doc_Water Level,0.01043528
lag_1d_Can Tho_Rainfall,0.010323694
lag_1d_Dai Ngai_Water Level,0.008629945
lag_2d_Can Tho_Water Level,0.0058327643
lag_3d_Can Tho_Rainfall,0.0045498614
lag_2d_Chau Doc_Water Level,0.0041089407
lag_5d_Chau Doc_Water Level,0.0040815896
lag_3d_Dai Ngai_Water Level,0.0037039772
lag_3d_Can Tho_Water Level,0.003646174
lag_5d_Can Tho_Water Level,0.0036320002
lag_2d_Can Tho_Rainfall,0.0036184753
lag_5d_Can Tho_Rainfall,0.0034864545
lag_7d_Can Tho_Rainfall,0.0023685752
lag_2d_Chau Doc_Rainfall,0.0022725386
lag_7d_Chau Doc_Rainfall,0.002068505
lag_6d_Can Tho_Rainfall,0.0019705635
lag_4d_Can Tho_Rainfall,0.0017735665
lag_1d_Chau Doc_Rainfall,0.0015790875
lag_7d_Dai Ngai_Rainfall,0.0013869992
lag_6d_Chau Doc_Rainfall,0.0013345436
lag_5d_Dai Ngai_Rainfall,0.0013063549
lag_6d_Dai Ngai_Rainfall,0.0012245127
lag_5d_Chau Doc_Rainfall,0.0011669964
lag_3d_Chau Doc_Rainfall,0.0009831908
lag_4d_Dai Ngai_Rainfall,0.0009826369
lag_3d_Dai Ngai_Rainfall,0.00081956194
lag_1d_Dai Ngai_Rainfall,0.0007837229
lag_2d_Dai Ngai_Rainfall,0.0007366605
lag_4d_Chau Doc_Rainfall,0.00035299538
