param_combination,rank,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,overfit_score,learning_rate,max_depth,n_estimators,subsample
learning_rate=0.1_max_depth=3_n_estimators=500_subsample=1.0,1,-0.03742718423351964,0.024746964478567876,-0.00437151407918734,0.0016312235059533287,1.4758708477020264,0.24085490565506654,0.021454413731892902,0.0010377592250938644,0.033055670154332306,0.1,3,500,1.0
learning_rate=0.3_max_depth=5_n_estimators=300_subsample=1.0,2,-0.037589122230814724,0.01949439931537397,-0.0001506078730244571,0.00013535934965721439,2.2450151443481445,0.2470566721668378,0.022651036580403645,0.0006315905814419905,0.03743851435779027,0.3,5,300,1.0
learning_rate=0.3_max_depth=5_n_estimators=500_subsample=1.0,3,-0.03765846386596913,0.019450157371352944,-2.3823858333094584e-05,2.581858393326497e-05,3.7775123914082847,0.8607212903641728,0.04049372673034668,0.00918968049262154,0.03763464000763604,0.3,5,500,1.0
learning_rate=0.3_max_depth=3_n_estimators=500_subsample=0.8,4,-0.03772379668503661,0.020154850695732834,-0.0012776906055566647,0.0008205945358230151,1.4773267110188801,0.26750806585032394,0.02351975440979004,0.003947541233512634,0.03644610607947994,0.3,3,500,0.8
learning_rate=0.3_max_depth=3_n_estimators=300_subsample=0.8,5,-0.03789508454581495,0.02019349084053581,-0.002613355566791025,0.0013140797412491774,1.0100750923156738,0.06524302575473108,0.02118206024169922,0.0018192231555036055,0.03528172897902393,0.3,3,300,0.8
learning_rate=0.3_max_depth=5_n_estimators=100_subsample=1.0,6,-0.03797232795455815,0.019227931148622153,-0.0017085503831293647,0.0008543962093430911,0.7696317036946615,0.09859662924405624,0.013173659642537435,0.00016386351664110122,0.03626377757142878,0.3,5,100,1.0
learning_rate=0.1_max_depth=3_n_estimators=300_subsample=1.0,7,-0.03838512546667133,0.024833800951248104,-0.006839134060816735,0.002064815299296297,0.9490549564361572,0.1718691431839443,0.019351800282796223,0.003199922779007426,0.031545991405854595,0.1,3,300,1.0
learning_rate=0.1_max_depth=5_n_estimators=500_subsample=1.0,8,-0.03972379481718831,0.02376321743654251,-0.0005822107276766898,0.0003706392345856087,3.6860409577687583,0.4268037647481218,0.04146226247151693,0.007453739667219955,0.03914158408951162,0.1,5,500,1.0
learning_rate=0.1_max_depth=5_n_estimators=300_subsample=1.0,9,-0.03985676640387559,0.02357412892222959,-0.0014644662968952722,0.0007073288577779436,2.277052561442057,0.40063276574171275,0.025044600168863933,0.00102901365444898,0.03839230010698032,0.1,5,300,1.0
learning_rate=0.3_max_depth=3_n_estimators=100_subsample=0.8,10,-0.03989054897692717,0.020024930146307674,-0.007801102882111155,0.0022571991049691307,0.3675878842671712,0.06281458304012418,0.01309061050415039,0.001238269210458384,0.03208944609481602,0.3,3,100,0.8
