feature,importance
lag_23d_Can Tho_Water Level,0.28394222
lag_22d_Dai Ngai_Water Level,0.16790634
lag_30d_Can Tho_Water Level,0.035365146
lag_24d_Chau Doc_Water Level,0.034423616
lag_30d_Dai Ngai_Water Level,0.025100773
lag_16d_Chau Doc_Water Level,0.020335937
lag_6d_Can Tho_Rainfall,0.016419455
lag_22d_Can Tho_Rainfall,0.009294745
lag_7d_Can Tho_Water Level,0.009171585
lag_15d_Can Tho_Water Level,0.007650803
lag_21d_Can Tho_Water Level,0.007516972
lag_22d_Chau Doc_Rainfall,0.0071959156
lag_27d_Can Tho_Water Level,0.0069992486
lag_1d_Can Tho_Water Level,0.006395413
lag_6d_Chau Doc_Rainfall,0.0060513127
lag_23d_Chau Doc_Water Level,0.0059781456
lag_28d_Chau Doc_Water Level,0.0056949565
lag_8d_Chau Doc_Water Level,0.0056681754
lag_4d_Dai Ngai_Water Level,0.005615581
lag_14d_Can Tho_Water Level,0.0055756127
lag_10d_Can Tho_Water Level,0.0055073476
lag_3d_Dai Ngai_Water Level,0.005502973
lag_2d_Can Tho_Water Level,0.0051761763
lag_7d_Dai Ngai_Water Level,0.0051513924
lag_7d_Chau Doc_Water Level,0.005098314
lag_6d_Dai Ngai_Rainfall,0.004955711
lag_22d_Can Tho_Water Level,0.00486711
lag_25d_Can Tho_Water Level,0.0042886976
lag_13d_Dai Ngai_Water Level,0.0042337845
lag_6d_Can Tho_Water Level,0.00419355
lag_6d_Dai Ngai_Water Level,0.003986899
lag_28d_Can Tho_Rainfall,0.003981911
lag_29d_Chau Doc_Water Level,0.0039679306
lag_28d_Can Tho_Water Level,0.0039572394
lag_29d_Can Tho_Water Level,0.0038994402
lag_11d_Chau Doc_Water Level,0.003867057
lag_3d_Chau Doc_Water Level,0.0038200489
lag_20d_Chau Doc_Rainfall,0.0037757615
lag_20d_Chau Doc_Water Level,0.0036067069
lag_19d_Chau Doc_Water Level,0.0035710745
lag_11d_Dai Ngai_Water Level,0.003491874
lag_21d_Dai Ngai_Water Level,0.0034223725
lag_5d_Can Tho_Water Level,0.0033923038
lag_22d_Chau Doc_Water Level,0.0033735686
lag_2d_Chau Doc_Water Level,0.0033690766
lag_12d_Chau Doc_Water Level,0.0033001865
lag_16d_Can Tho_Water Level,0.0032750913
lag_5d_Dai Ngai_Water Level,0.0032297114
lag_24d_Can Tho_Water Level,0.003188563
lag_18d_Can Tho_Water Level,0.0030968713
lag_25d_Chau Doc_Water Level,0.0030955074
lag_28d_Dai Ngai_Water Level,0.0030504037
lag_12d_Dai Ngai_Water Level,0.0030453056
lag_18d_Dai Ngai_Water Level,0.0029785344
lag_19d_Dai Ngai_Rainfall,0.0029576896
lag_1d_Dai Ngai_Water Level,0.0029547294
lag_2d_Dai Ngai_Water Level,0.0029294994
lag_1d_Chau Doc_Water Level,0.002863029
lag_15d_Dai Ngai_Water Level,0.0028148922
lag_3d_Can Tho_Rainfall,0.0027558622
lag_14d_Chau Doc_Rainfall,0.0027282108
lag_19d_Can Tho_Water Level,0.002706264
lag_23d_Dai Ngai_Water Level,0.0025961343
lag_20d_Dai Ngai_Water Level,0.002575162
lag_30d_Chau Doc_Water Level,0.002570684
lag_14d_Dai Ngai_Water Level,0.0025539105
lag_11d_Can Tho_Water Level,0.002537088
lag_26d_Dai Ngai_Water Level,0.0025196723
lag_13d_Can Tho_Water Level,0.0024839207
lag_20d_Dai Ngai_Rainfall,0.0024745616
lag_17d_Can Tho_Rainfall,0.0024600443
lag_10d_Dai Ngai_Water Level,0.0024560052
lag_20d_Can Tho_Water Level,0.0024460827
lag_8d_Can Tho_Water Level,0.002437733
lag_27d_Chau Doc_Water Level,0.002344226
lag_13d_Chau Doc_Water Level,0.002338941
lag_26d_Can Tho_Water Level,0.0022449533
lag_17d_Chau Doc_Water Level,0.0022431351
lag_21d_Chau Doc_Water Level,0.002229206
lag_3d_Can Tho_Water Level,0.0022269546
lag_21d_Can Tho_Rainfall,0.0022152641
lag_4d_Chau Doc_Water Level,0.0021808413
lag_16d_Dai Ngai_Rainfall,0.002172853
lag_27d_Dai Ngai_Water Level,0.0021589762
lag_19d_Dai Ngai_Water Level,0.0021510671
lag_10d_Chau Doc_Water Level,0.002139983
lag_26d_Chau Doc_Water Level,0.0020738782
lag_6d_Chau Doc_Water Level,0.0020541626
lag_15d_Chau Doc_Water Level,0.0020130454
lag_9d_Dai Ngai_Water Level,0.001997249
lag_10d_Chau Doc_Rainfall,0.0019665102
lag_3d_Dai Ngai_Rainfall,0.0019472439
lag_24d_Dai Ngai_Water Level,0.0019351849
lag_29d_Dai Ngai_Water Level,0.0019329746
lag_14d_Chau Doc_Water Level,0.0019086818
lag_21d_Chau Doc_Rainfall,0.0019022997
lag_5d_Chau Doc_Water Level,0.0018997721
lag_14d_Can Tho_Rainfall,0.0018651162
lag_4d_Dai Ngai_Rainfall,0.0018504105
lag_5d_Chau Doc_Rainfall,0.0018372171
lag_16d_Dai Ngai_Water Level,0.0018327393
lag_12d_Can Tho_Water Level,0.0018303057
lag_4d_Can Tho_Water Level,0.0018156584
lag_18d_Chau Doc_Water Level,0.0018066257
lag_25d_Dai Ngai_Water Level,0.0018017552
lag_17d_Dai Ngai_Water Level,0.0017780848
lag_8d_Dai Ngai_Water Level,0.0017682026
lag_9d_Chau Doc_Water Level,0.0017050127
lag_11d_Chau Doc_Rainfall,0.0016710378
lag_23d_Can Tho_Rainfall,0.001648533
lag_8d_Can Tho_Rainfall,0.0015778438
lag_27d_Chau Doc_Rainfall,0.0015532447
lag_15d_Can Tho_Rainfall,0.0015385209
lag_27d_Can Tho_Rainfall,0.0015094256
lag_16d_Can Tho_Rainfall,0.0014997385
lag_7d_Chau Doc_Rainfall,0.0014982249
lag_15d_Chau Doc_Rainfall,0.0014617038
lag_14d_Dai Ngai_Rainfall,0.0014502178
lag_7d_Can Tho_Rainfall,0.0014186759
lag_17d_Can Tho_Water Level,0.0014140732
lag_18d_Dai Ngai_Rainfall,0.0014131716
lag_2d_Can Tho_Rainfall,0.0014030122
lag_7d_Dai Ngai_Rainfall,0.0013980473
lag_20d_Can Tho_Rainfall,0.001350551
lag_9d_Can Tho_Water Level,0.0013473384
lag_26d_Can Tho_Rainfall,0.0013395814
lag_8d_Dai Ngai_Rainfall,0.0013338911
lag_18d_Can Tho_Rainfall,0.0013017654
lag_18d_Chau Doc_Rainfall,0.0012870847
lag_30d_Chau Doc_Rainfall,0.0012568204
lag_1d_Dai Ngai_Rainfall,0.00124984
lag_29d_Can Tho_Rainfall,0.0012188188
lag_27d_Dai Ngai_Rainfall,0.0011664499
lag_13d_Dai Ngai_Rainfall,0.0011244012
lag_9d_Chau Doc_Rainfall,0.0011183387
lag_4d_Can Tho_Rainfall,0.0010766624
lag_30d_Dai Ngai_Rainfall,0.0010713959
lag_12d_Dai Ngai_Rainfall,0.0010702724
lag_9d_Can Tho_Rainfall,0.0010688171
lag_11d_Dai Ngai_Rainfall,0.0010386603
lag_22d_Dai Ngai_Rainfall,0.001013009
lag_29d_Chau Doc_Rainfall,0.0010112101
lag_12d_Can Tho_Rainfall,0.001002013
lag_21d_Dai Ngai_Rainfall,0.0010002429
lag_5d_Dai Ngai_Rainfall,0.0009972603
lag_17d_Chau Doc_Rainfall,0.0009928388
lag_30d_Can Tho_Rainfall,0.000988361
lag_24d_Can Tho_Rainfall,0.00096223655
lag_23d_Dai Ngai_Rainfall,0.00096017466
lag_13d_Can Tho_Rainfall,0.0009588564
lag_29d_Dai Ngai_Rainfall,0.00094544416
lag_24d_Chau Doc_Rainfall,0.0009252051
lag_11d_Can Tho_Rainfall,0.0009242036
lag_24d_Dai Ngai_Rainfall,0.0009111806
lag_28d_Dai Ngai_Rainfall,0.0009106489
lag_12d_Chau Doc_Rainfall,0.0008234178
lag_19d_Chau Doc_Rainfall,0.0008107479
lag_25d_Can Tho_Rainfall,0.00080274657
lag_15d_Dai Ngai_Rainfall,0.0007876275
lag_23d_Chau Doc_Rainfall,0.0007736212
lag_16d_Chau Doc_Rainfall,0.0007728621
lag_13d_Chau Doc_Rainfall,0.00076340704
lag_3d_Chau Doc_Rainfall,0.0007324478
lag_25d_Dai Ngai_Rainfall,0.0007314242
lag_1d_Chau Doc_Rainfall,0.00071326847
lag_9d_Dai Ngai_Rainfall,0.0007003284
lag_26d_Dai Ngai_Rainfall,0.0006929213
lag_25d_Chau Doc_Rainfall,0.00068564335
lag_2d_Dai Ngai_Rainfall,0.00067484024
lag_17d_Dai Ngai_Rainfall,0.00066985574
lag_2d_Chau Doc_Rainfall,0.0006326565
lag_19d_Can Tho_Rainfall,0.0006181043
lag_5d_Can Tho_Rainfall,0.00061452866
lag_8d_Chau Doc_Rainfall,0.0006030608
lag_26d_Chau Doc_Rainfall,0.00060274696
lag_1d_Can Tho_Rainfall,0.00059556996
lag_4d_Chau Doc_Rainfall,0.0005883625
lag_10d_Dai Ngai_Rainfall,0.0005458247
lag_10d_Can Tho_Rainfall,0.0003866571
lag_28d_Chau Doc_Rainfall,0.00028821683
