mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.777217149734497,0.4332113664992605,0.04080533981323242,0.005873663936919325,0.01,3,100,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",-0.09309947053918469,-0.07307411160624375,-0.0843329225345393,-0.0835021682266559,0.008196396144580027,78,-0.10013281241778955,-0.09432041814270697,-0.08722154181412302,-0.09389159079153984,0.005279718857610234
2.84049924214681,0.5984747569361433,0.039557695388793945,0.014312027645048011,0.01,3,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.0972370851126751,-0.07300625547543434,-0.0849767585184597,-0.08507336636885639,0.00989243064283041,79,-0.09758407273230629,-0.09373691151679878,-0.0869844969904093,-0.0927684937465048,0.00438110535598941
2.5321670373280845,0.33293654720675114,0.03521895408630371,0.0042155784224056836,0.01,3,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-0.09841373592471646,-0.07239974272959439,-0.08473501655152023,-0.08518283173527702,0.010624887899583277,80,-0.09786642770460856,-0.09372241745752825,-0.08703212829392645,-0.09287365781868777,0.004463616293505387
5.869938453038533,1.937862827365707,0.04005074501037598,0.005386667438249984,0.01,3,300,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.5}",-0.06009985539024062,-0.02179773219215508,-0.02235701992378302,-0.0347515358353929,0.017925422893806317,24,-0.027430698117997584,-0.029722840348375194,-0.027169789174856154,-0.028107775880409646,0.0011469795975855973
4.9324296315511065,2.1252859362283685,0.029261032740275066,0.0015869876870156414,0.01,3,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-0.06773267664290453,-0.02233687681163696,-0.023162384123172727,-0.03774397919257141,0.02120788920277958,33,-0.02356864950825559,-0.027518980185384435,-0.025897489906231395,-0.025661706533290474,0.0016213108819476615
3.749425729115804,0.5677255773047172,0.03348970413208008,0.0018668741397856452,0.01,3,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-0.06986730692968714,-0.022931504424047813,-0.022965449833580526,-0.03858808706243849,0.022117752819857457,36,-0.023907218105544276,-0.02738189914429533,-0.025695362107123098,-0.025661493118987567,0.001418734744183944
6.775972127914429,0.8659950137509999,0.03850452105204264,0.005566402803742318,0.01,3,500,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.5}",-0.06706576568100842,-0.016915246043242734,-0.01663016829545159,-0.03353706000656758,0.023708660801249153,20,-0.015656906682648793,-0.018862260273634992,-0.01815147797994828,-0.01755688164541069,0.0013744651108937337
6.961470444997151,2.393017172249071,0.038423379262288414,0.008707138442502017,0.01,3,500,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",-0.07260446923662343,-0.017046330807152392,-0.016882212176983328,-0.03551100407358638,0.0262291263303765,29,-0.01321768621097958,-0.017899195857597503,-0.01732543331104847,-0.016147438459875183,0.0020848480432055865
5.849984645843506,0.8498546242856121,0.037114461263020836,0.005859292843622327,0.01,3,500,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",-0.07034213138349525,-0.017820947895651716,-0.016947565358138444,-0.0350368815457618,0.024967127706149825,27,-0.013280338600404338,-0.017797906912878202,-0.017109223539765236,-0.016062489684349257,0.0019872669150573755
3.821314493815104,0.5408317023889602,0.02497212092081706,0.0015914667896223934,0.01,5,100,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",-0.08938275863156298,-0.0661885832455013,-0.07189945365792971,-0.07582359851166466,0.009867172090140392,74,-0.08623840298417995,-0.0783102488646577,-0.07280348480952477,-0.0791173788861208,0.005514396355213041
