param_combination,rank,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,overfit_score,learning_rate,max_depth,n_estimators,subsample
learning_rate=0.01_max_depth=7_n_estimators=500_subsample=0.5,1,-0.02691115870290603,0.02214651373279698,-0.004948021689313668,0.0005080260629906932,38.824041525522865,3.838121886281745,0.11312619845072429,0.010533416285869417,0.02196313701359236,0.01,7,500,0.5
learning_rate=0.1_max_depth=3_n_estimators=500_subsample=1.0,2,-0.027838209265217018,0.02425972712414307,-0.0020691933208257358,0.0006644143889125736,6.249000549316406,1.0387981751177164,0.04608798027038574,0.006028326615826288,0.025769015944391283,0.1,3,500,1.0
learning_rate=0.1_max_depth=3_n_estimators=300_subsample=1.0,3,-0.028443676532169518,0.02440447404839601,-0.0035432224376525713,0.0008132788500181939,3.8045008182525635,0.3359556370773223,0.03232892354329427,0.005068956271141973,0.024900454094516945,0.1,3,300,1.0
learning_rate=0.01_max_depth=7_n_estimators=300_subsample=0.5,4,-0.028521123006305993,0.020441869099197478,-0.012077869777015455,0.0021025135558872757,27.111129999160767,2.309405713807615,0.06431738535563152,0.012129788426505262,0.016443253229290536,0.01,7,300,0.5
learning_rate=0.01_max_depth=5_n_estimators=500_subsample=0.5,5,-0.02864685099569496,0.023121648516118518,-0.008255890469222378,0.00015238413015288777,17.488008499145508,4.073798209647421,0.0628344217936198,0.01147676479681944,0.02039096052647258,0.01,5,500,0.5
learning_rate=0.3_max_depth=3_n_estimators=500_subsample=1.0,6,-0.029531918023393642,0.023884087887731626,-0.00043849209802380795,0.0003035799184356556,4.719184637069702,0.7811719287009101,0.03659351666768392,0.0018675335096459383,0.029093425925369835,0.3,3,500,1.0
learning_rate=0.3_max_depth=3_n_estimators=300_subsample=1.0,7,-0.02966489191220288,0.023939014995470274,-0.0011033845333521981,0.0005946310671899909,3.4832765261332193,0.4531737250489137,0.029468695322672527,0.0013211837772459012,0.028561507378850683,0.3,3,300,1.0
learning_rate=0.1_max_depth=3_n_estimators=100_subsample=1.0,8,-0.029976465702236586,0.023764566826797656,-0.00870470637288155,0.001602950382509795,1.3219520250956218,0.20665637393100283,0.02411619822184245,0.0021883394656456645,0.021271759329355037,0.1,3,100,1.0
learning_rate=0.1_max_depth=3_n_estimators=500_subsample=0.5,9,-0.030368614294773083,0.025051350399609228,-0.00242219033485161,0.000737230662758549,6.33830992380778,1.4127504462357696,0.048591295878092446,0.013240421272617523,0.027946423959921474,0.1,3,500,0.5
learning_rate=0.01_max_depth=5_n_estimators=300_subsample=0.5,10,-0.030458710767913275,0.02053266864251389,-0.016477271187795548,0.001298830270411579,10.001944621404013,0.9000800837046862,0.03706717491149902,0.0002522334105447944,0.013981439580117726,0.01,5,300,0.5
learning_rate=0.3_max_depth=3_n_estimators=100_subsample=1.0,11,-0.030522290696856403,0.02394475886118454,-0.0041131589791658036,0.0010830102945036258,1.3093539079030354,0.205337083117729,0.03033932050069173,0.0047301770469259435,0.0264091317176906,0.3,3,100,1.0
learning_rate=0.1_max_depth=3_n_estimators=300_subsample=0.5,12,-0.031038395944820312,0.025402620456295853,-0.004178197551530692,0.00075995662307669,3.2817620436350503,0.1824168550113225,0.03323507308959961,0.0038110013631192227,0.02686019839328962,0.1,3,300,0.5
learning_rate=0.3_max_depth=3_n_estimators=500_subsample=0.5,13,-0.031354041734439515,0.020947046043868118,-0.0007652701936259912,0.0004977039267074389,5.441501299540202,0.20719975676568664,0.037543535232543945,0.006137402871435035,0.030588771540813523,0.3,3,500,0.5
learning_rate=0.3_max_depth=3_n_estimators=300_subsample=0.5,14,-0.031652459754440025,0.021303645790733166,-0.001723213168546328,0.0008455704064084861,3.5140390396118164,0.45914867582881536,0.03108835220336914,0.0018632009096726581,0.029929246585893698,0.3,3,300,0.5
