param_combination,rank,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,overfit_score,learning_rate,max_depth,n_estimators,subsample
learning_rate=0.1_max_depth=5_n_estimators=500_subsample=1.0,1,-0.027917201900933913,0.015408303010440997,-0.00047935819802926897,0.00033473957967303854,15.777422348658243,2.3373419681021876,0.07062125205993652,0.013655268173431835,0.027437843702904644,0.1,5,500,1.0
learning_rate=0.1_max_depth=5_n_estimators=300_subsample=1.0,2,-0.027975837116061438,0.015373114305950439,-0.001216977040335802,0.000673374287967285,9.30970033009847,1.8108359928828466,0.04337811470031738,0.005933707653368799,0.026758860075725636,0.1,5,300,1.0
learning_rate=0.1_max_depth=5_n_estimators=100_subsample=1.0,3,-0.028317426764227216,0.01517313579607523,-0.0038607058584182847,0.00131565298518538,3.5199708143870034,0.4408678559230571,0.02639142672220866,0.0036157138038689154,0.024456720905808933,0.1,5,100,1.0
learning_rate=0.01_max_depth=7_n_estimators=500_subsample=1.0,4,-0.0283677112915279,0.01794903150264199,-0.0022236694463892864,0.0007258884358658763,55.41722504297892,7.24865608168749,0.12570603688557944,0.024778968718353094,0.02614404184513861,0.01,7,500,1.0
learning_rate=0.3_max_depth=7_n_estimators=100_subsample=1.0,5,-0.028512570763634962,0.014564166808462726,-0.00015310814635046376,0.00012495107773270717,8.997472286224365,2.122576231372266,0.03686753908793131,0.003996047127340411,0.028359462617284496,0.3,7,100,1.0
learning_rate=0.3_max_depth=7_n_estimators=300_subsample=1.0,6,-0.028531794310756576,0.014548248892710097,-9.452595889419659e-07,6.505584041306112e-07,18.34790809949239,6.637814007633178,0.08737818400065105,0.059287364262406723,0.028530849051167633,0.3,7,300,1.0
learning_rate=0.3_max_depth=7_n_estimators=500_subsample=1.0,7,-0.028533575288144906,0.014547007678481053,-5.505075982194518e-07,1.1154898100197078e-07,12.738373120625814,3.0710124845804425,0.02135626475016276,0.0026181822712611916,0.028533024780546687,0.3,7,500,1.0
learning_rate=0.1_max_depth=7_n_estimators=500_subsample=1.0,8,-0.029280818813089454,0.01950676016135472,-2.330611505882817e-05,2.3080933531600756e-05,35.65796375274658,7.207291477015173,0.08667945861816406,0.02081434664145311,0.029257512698030626,0.1,7,500,1.0
learning_rate=0.1_max_depth=7_n_estimators=300_subsample=1.0,9,-0.029312090918594363,0.019500916285739994,-0.0001319517527212496,0.000102109061458512,21.555743376413982,4.297281549802023,0.06710426012674968,0.01168401493117687,0.029180139165873115,0.1,7,300,1.0
learning_rate=0.01_max_depth=5_n_estimators=500_subsample=1.0,10,-0.029438317589347594,0.016646097485866134,-0.006753295304869826,0.001831751504677483,20.194669644037884,2.9110006283370917,0.06246391932169596,0.009007638736887683,0.022685022284477767,0.01,5,500,1.0
learning_rate=0.1_max_depth=7_n_estimators=100_subsample=1.0,11,-0.029455302715711992,0.019308516848921816,-0.0010108492445347684,0.0005161597059451998,8.664047002792358,0.7288213267072349,0.03384208679199219,0.003233150922423915,0.028444453471177224,0.1,7,100,1.0
learning_rate=0.01_max_depth=7_n_estimators=500_subsample=0.5,12,-0.029546201539489305,0.012626549054255188,-0.0069647896161088895,0.0004065648457332241,40.65829865137736,9.686204226564112,0.09572339057922363,0.023137414928806697,0.022581411923380416,0.01,7,500,0.5
learning_rate=0.01_max_depth=7_n_estimators=300_subsample=0.5,13,-0.02966281026407887,0.012055364694119254,-0.014126061409951233,0.0017912912795190203,27.012621720631916,3.7147570611564356,0.06555660565694173,0.011387547772831588,0.015536748854127638,0.01,7,300,0.5
learning_rate=0.01_max_depth=5_n_estimators=500_subsample=0.5,14,-0.03026303139565172,0.0117155277476246,-0.011067311015793009,0.0004574292943601184,18.140971660614014,3.6568784638226557,0.06696319580078125,0.008452751876487497,0.01919572037985871,0.01,5,500,0.5
learning_rate=0.1_max_depth=3_n_estimators=500_subsample=0.8,15,-0.03032750221541465,0.01804881827586817,-0.0032571849985003377,0.0012378721860614884,6.752553145090739,2.206355883482558,0.048105478286743164,0.019724102401560265,0.027070317216914313,0.1,3,500,0.8
learning_rate=0.01_max_depth=7_n_estimators=300_subsample=1.0,16,-0.030376637003492094,0.017950990341206008,-0.006279217999356185,0.0005383724650491863,35.87603608767191,5.820801639088393,0.06804871559143066,0.016283372481747212,0.02409741900413591,0.01,7,300,1.0
