feature,importance
lag_14d_Dai Ngai_Rainfall,0.00046330207
lag_12d_Chau Doc_Water Level,0.00044150176
lag_10d_Chau Doc_Rainfall,0.0004406596
lag_12d_Can Tho_Rainfall,0.00043651627
lag_16d_Can Tho_Rainfall,0.00043363075
lag_6d_Chau Doc_Rainfall,0.00042005465
lag_23d_Chau Doc_Rainfall,0.00041474972
lag_15d_Dai Ngai_Rainfall,0.0004075003
lag_4d_Dai Ngai_Rainfall,0.00040494767
lag_9d_Dai Ngai_Rainfall,0.00039198177
lag_14d_Can Tho_Rainfall,0.00039109192
lag_25d_Can Tho_Rainfall,0.00038512037
lag_14d_Chau Doc_Water Level,0.0003835252
lag_16d_Chau Doc_Rainfall,0.00037810826
lag_30d_Dai Ngai_Rainfall,0.00037102163
lag_22d_Dai Ngai_Rainfall,0.00037006717
lag_16d_Dai Ngai_Rainfall,0.00036793633
lag_13d_Dai Ngai_Rainfall,0.00036767466
lag_26d_Chau Doc_Rainfall,0.00036623725
lag_6d_Dai Ngai_Rainfall,0.00036358935
lag_8d_Chau Doc_Rainfall,0.00035809242
lag_20d_Dai Ngai_Rainfall,0.0003550193
lag_21d_Can Tho_Rainfall,0.00035459065
lag_29d_Chau Doc_Rainfall,0.00034175938
lag_9d_Can Tho_Rainfall,0.0003284979
lag_3d_Dai Ngai_Rainfall,0.000326309
lag_15d_Can Tho_Rainfall,0.0003243298
lag_30d_Can Tho_Rainfall,0.0003076017
lag_4d_Chau Doc_Rainfall,0.00030738505
lag_24d_Can Tho_Rainfall,0.00030263347
lag_10d_Dai Ngai_Rainfall,0.00030086868
lag_24d_Chau Doc_Rainfall,0.0002957089
lag_17d_Can Tho_Rainfall,0.0002943546
lag_17d_Chau Doc_Rainfall,0.00029154046
lag_7d_Chau Doc_Rainfall,0.00028729907
lag_24d_Dai Ngai_Rainfall,0.00028655914
lag_19d_Dai Ngai_Rainfall,0.00028291237
lag_29d_Dai Ngai_Rainfall,0.00028105182
lag_23d_Dai Ngai_Rainfall,0.00026130027
lag_19d_Chau Doc_Rainfall,0.00026102646
lag_6d_Can Tho_Rainfall,0.00026039677
lag_13d_Chau Doc_Rainfall,0.00025757967
lag_30d_Chau Doc_Rainfall,0.00025393118
lag_18d_Dai Ngai_Rainfall,0.00025221103
lag_1d_Can Tho_Rainfall,0.0002325117
lag_1d_Chau Doc_Rainfall,0.00022306303
lag_2d_Can Tho_Rainfall,0.00022118335
lag_15d_Chau Doc_Rainfall,0.0002126698
lag_5d_Dai Ngai_Rainfall,0.00020654964
lag_3d_Can Tho_Rainfall,0.0001969918
lag_21d_Dai Ngai_Rainfall,0.00019344353
lag_1d_Dai Ngai_Rainfall,0.00018258006
lag_2d_Chau Doc_Rainfall,0.00016300887
