param_combination,rank,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,overfit_score,learning_rate,max_depth,n_estimators,subsample
learning_rate=0.01_max_depth=5_n_estimators=300_subsample=0.8,1,-0.03216586576261261,0.016134427444331956,-0.012363536614314163,0.0009847797359501312,38.991772413253784,9.035747102232035,0.0829315980275472,0.002459543336538337,0.019802329148298443,0.01,5,300,0.8
learning_rate=0.01_max_depth=7_n_estimators=300_subsample=0.8,2,-0.03296124619031412,0.0175223994771051,-0.007361014308540389,0.00010903348656119023,97.57587281862895,10.083252557665816,0.17106358210245767,0.04683766766656096,0.025600231881773728,0.01,7,300,0.8
learning_rate=0.01_max_depth=5_n_estimators=300_subsample=1.0,3,-0.03373132029472994,0.0171075920857475,-0.01095981409530293,0.0015015557245763487,35.392873207728066,4.982604281892395,0.08638350168863933,0.0039701311757971034,0.022771506199427007,0.01,5,300,1.0
learning_rate=0.01_max_depth=3_n_estimators=300_subsample=0.8,4,-0.034045526094544434,0.015025118615091154,-0.02935998297532172,0.003693241725574249,13.450435082117716,1.2523915367253995,0.07801413536071777,0.01779220044024951,0.004685543119222715,0.01,3,300,0.8
learning_rate=0.01_max_depth=5_n_estimators=500_subsample=1.0,5,-0.03413991270677418,0.021224457651537066,-0.005670405293337588,0.0014493516830565603,63.38652729988098,15.811503462037193,0.11232360204060872,0.0170910706905569,0.028469507413436596,0.01,5,500,1.0
learning_rate=0.01_max_depth=3_n_estimators=500_subsample=0.8,6,-0.03425171097903043,0.02143516183916918,-0.018667904022458773,0.003649413292807549,19.36827890078227,3.238456380957523,0.07749032974243164,0.014715251992800792,0.015583806956571657,0.01,3,500,0.8
learning_rate=0.1_max_depth=5_n_estimators=300_subsample=1.0,7,-0.03512421577372371,0.0228441011980979,-0.0009386259701093883,0.0005519424833154835,26.644355217615765,3.2715845743025196,0.0821840763092041,0.00689777293184784,0.03418558980361432,0.1,5,300,1.0
learning_rate=0.1_max_depth=5_n_estimators=500_subsample=1.0,8,-0.03512961653287925,0.022967231946129412,-0.0003114547984583551,0.00023545897478890714,46.30909673372904,3.937099816533464,0.11331486701965332,0.0248134410080494,0.03481816173442089,0.1,5,500,1.0
learning_rate=0.1_max_depth=5_n_estimators=100_subsample=1.0,9,-0.035177461279818675,0.022641673767977242,-0.003461233869714563,0.0012751773169209983,12.13725233078003,0.7685090995063913,0.09785683949788411,0.012375873958938011,0.03171622741010411,0.1,5,100,1.0
learning_rate=0.01_max_depth=3_n_estimators=300_subsample=1.0,10,-0.03583099779825004,0.018085999269558214,-0.029528374147105147,0.004218634404407624,12.632928927739462,2.60126885373531,0.0640581448872884,0.003340156539123075,0.006302623651144892,0.01,3,300,1.0
learning_rate=0.01_max_depth=7_n_estimators=300_subsample=0.5,11,-0.03719077161824363,0.025114202160816886,-0.012991126009808215,0.001584207008666028,86.7897748152415,22.845997521969046,0.22874156634012857,0.0905403523762399,0.024199645608435412,0.01,7,300,0.5
learning_rate=0.01_max_depth=3_n_estimators=300_subsample=0.5,12,-0.03783707017306053,0.01918529363629293,-0.02992517870717376,0.0017481413680434756,15.380819400151571,1.4929732854433666,0.0872179667154948,0.019503810444757207,0.007911891465886771,0.01,3,300,0.5
learning_rate=0.01_max_depth=5_n_estimators=300_subsample=0.5,13,-0.03813454442172689,0.02305933284416808,-0.017415234557556156,0.0008475737628613663,35.72464338938395,6.039819930150712,0.0880735715230306,0.016387273202667994,0.020719309864170733,0.01,5,300,0.5
learning_rate=0.01_max_depth=3_n_estimators=500_subsample=1.0,14,-0.03822448973467595,0.02781753097990424,-0.018953623530235678,0.004246523901401274,23.739195187886555,7.884577587310666,0.06968983014424641,0.005732593201112619,0.019270866204440275,0.01,3,500,1.0
learning_rate=0.01_max_depth=5_n_estimators=500_subsample=0.8,15,-0.03949340749485323,0.029850413781442365,-0.006406978539813059,0.0012658194400729324,57.786571979522705,4.522795507294357,0.1459519068400065,0.04336216542292189,0.03308642895504017,0.01,5,500,0.8
learning_rate=0.1_max_depth=3_n_estimators=500_subsample=0.8,16,-0.03975559534736425,0.030288204681820422,-0.00270817490257836,0.0013266131148198061,20.50587757428487,5.375596163723249,0.12475347518920898,0.04195695116999575,0.03704742044478589,0.1,3,500,0.8
learning_rate=0.1_max_depth=3_n_estimators=100_subsample=0.8,17,-0.03986567597958043,0.0286145201427885,-0.011076367336450328,0.0026607661260385903,3.627501885096232,0.9436560945073105,0.06998300552368164,0.016583361534204026,0.028789308643130097,0.1,3,100,0.8
