feature,importance
lag_15d_Can Tho_Water Level,0.002773546
lag_74d_Can Tho_Water Level,0.0027313593
lag_1d_Chau Doc_Rainfall,0.0026986976
lag_35d_Chau Doc_Water Level,0.00268276
lag_8d_Can Tho_Water Level,0.0026390443
lag_17d_Chau Doc_Rainfall,0.0026063626
lag_75d_Dai Ngai_Water Level,0.0025671301
lag_15d_Chau Doc_Water Level,0.0025652652
lag_40d_Can Tho_Rainfall,0.0025479982
lag_79d_Can Tho_Water Level,0.0025162648
lag_41d_Dai Ngai_Rainfall,0.0024923244
lag_80d_Can Tho_Water Level,0.0024919065
lag_6d_Chau Doc_Water Level,0.0024750528
lag_56d_Can Tho_Water Level,0.0024723613
lag_32d_Can Tho_Rainfall,0.0024552685
lag_12d_Chau Doc_Water Level,0.0024312914
lag_42d_Can Tho_Rainfall,0.00242415
lag_19d_Chau Doc_Water Level,0.00240974
lag_59d_Dai Ngai_Water Level,0.0023817804
lag_26d_Dai Ngai_Water Level,0.0023696432
lag_82d_Can Tho_Water Level,0.0023544924
lag_72d_Dai Ngai_Water Level,0.0023225409
lag_6d_Dai Ngai_Water Level,0.0022899993
lag_64d_Can Tho_Water Level,0.002265312
lag_63d_Dai Ngai_Water Level,0.0022359504
lag_86d_Chau Doc_Water Level,0.0022157985
lag_84d_Can Tho_Water Level,0.0021460503
lag_53d_Can Tho_Water Level,0.0021424415
lag_44d_Chau Doc_Water Level,0.0021197915
lag_42d_Dai Ngai_Rainfall,0.0021018665
lag_10d_Can Tho_Rainfall,0.0020937794
lag_78d_Dai Ngai_Water Level,0.0020593721
lag_5d_Dai Ngai_Water Level,0.0020497823
lag_20d_Chau Doc_Water Level,0.0020426584
lag_60d_Can Tho_Water Level,0.0020349768
lag_8d_Chau Doc_Water Level,0.0020288152
lag_71d_Dai Ngai_Water Level,0.002015158
lag_18d_Dai Ngai_Rainfall,0.0020101457
lag_38d_Can Tho_Water Level,0.001993604
lag_88d_Chau Doc_Rainfall,0.0019538458
lag_80d_Dai Ngai_Water Level,0.0019407449
lag_51d_Can Tho_Water Level,0.001934678
lag_87d_Chau Doc_Water Level,0.0019213225
lag_39d_Dai Ngai_Water Level,0.0019125113
lag_72d_Chau Doc_Rainfall,0.0019062087
lag_15d_Dai Ngai_Water Level,0.0018789157
lag_30d_Chau Doc_Water Level,0.0018604757
lag_14d_Can Tho_Water Level,0.0018296777
lag_86d_Can Tho_Water Level,0.0018233899
lag_34d_Dai Ngai_Water Level,0.001819889
lag_20d_Can Tho_Rainfall,0.0018039425
lag_77d_Chau Doc_Water Level,0.001803775
lag_58d_Chau Doc_Water Level,0.0017970466
lag_59d_Can Tho_Water Level,0.0017812192
lag_55d_Can Tho_Water Level,0.0017713738
lag_52d_Chau Doc_Water Level,0.001756314
lag_56d_Chau Doc_Rainfall,0.0017439178
lag_83d_Can Tho_Rainfall,0.0017433965
lag_41d_Chau Doc_Water Level,0.0017402953
lag_46d_Can Tho_Water Level,0.001697542
lag_89d_Dai Ngai_Water Level,0.0016966834
lag_60d_Dai Ngai_Water Level,0.0016805915
lag_61d_Chau Doc_Water Level,0.001658487
lag_50d_Dai Ngai_Rainfall,0.0016495837
lag_49d_Chau Doc_Rainfall,0.0016491052
lag_28d_Chau Doc_Rainfall,0.0016353368
lag_38d_Dai Ngai_Water Level,0.0016350604
lag_84d_Chau Doc_Water Level,0.0016330577
lag_15d_Dai Ngai_Rainfall,0.0016301593
lag_17d_Chau Doc_Water Level,0.0016184312
lag_47d_Dai Ngai_Water Level,0.0016179592
lag_66d_Chau Doc_Water Level,0.0015844931
lag_13d_Dai Ngai_Water Level,0.0015813715
lag_37d_Dai Ngai_Rainfall,0.0015722146
lag_21d_Chau Doc_Water Level,0.0015649917
lag_61d_Can Tho_Water Level,0.001552404
lag_13d_Dai Ngai_Rainfall,0.0015333695
lag_27d_Dai Ngai_Water Level,0.0015313788
lag_31d_Chau Doc_Water Level,0.0015149384
lag_12d_Chau Doc_Rainfall,0.0015000559
lag_55d_Dai Ngai_Water Level,0.0014899564
lag_43d_Dai Ngai_Water Level,0.0014846798
lag_69d_Chau Doc_Water Level,0.00148322
lag_23d_Chau Doc_Water Level,0.0014649114
lag_63d_Can Tho_Water Level,0.0014644472
lag_58d_Dai Ngai_Water Level,0.0014465615
lag_83d_Dai Ngai_Water Level,0.0014362197
lag_9d_Can Tho_Water Level,0.0014089394
lag_7d_Chau Doc_Rainfall,0.0014046654
lag_2d_Chau Doc_Rainfall,0.0013989415
lag_43d_Can Tho_Water Level,0.00139162
lag_20d_Can Tho_Water Level,0.0013814758
lag_52d_Can Tho_Water Level,0.0013676973
lag_5d_Chau Doc_Rainfall,0.0013662211
lag_84d_Dai Ngai_Water Level,0.0013580243
lag_24d_Can Tho_Rainfall,0.0013440552
lag_36d_Dai Ngai_Rainfall,0.0013364346
lag_10d_Chau Doc_Water Level,0.0013328026
lag_4d_Chau Doc_Rainfall,0.001328924
lag_79d_Chau Doc_Water Level,0.0013288466
lag_35d_Dai Ngai_Water Level,0.0013273987
lag_83d_Chau Doc_Water Level,0.0013220452
lag_13d_Chau Doc_Water Level,0.0013215183
lag_18d_Chau Doc_Rainfall,0.0013077349
lag_83d_Can Tho_Water Level,0.0013067566
lag_40d_Chau Doc_Water Level,0.0013046039
lag_2d_Can Tho_Rainfall,0.0012954697
lag_49d_Chau Doc_Water Level,0.0012833893
lag_45d_Dai Ngai_Water Level,0.0012792276
lag_57d_Can Tho_Water Level,0.0012651494
lag_78d_Can Tho_Water Level,0.0012625766
lag_12d_Can Tho_Water Level,0.0012530248
lag_43d_Chau Doc_Water Level,0.0012430917
lag_6d_Chau Doc_Rainfall,0.0012411979
lag_86d_Dai Ngai_Water Level,0.0012370346
lag_39d_Can Tho_Water Level,0.0012367871
lag_40d_Dai Ngai_Water Level,0.001219246
lag_17d_Dai Ngai_Water Level,0.0012144856
lag_68d_Can Tho_Water Level,0.0012090564
lag_84d_Can Tho_Rainfall,0.0011938299
lag_2d_Dai Ngai_Water Level,0.0011904769
lag_47d_Can Tho_Water Level,0.0011894162
lag_38d_Dai Ngai_Rainfall,0.0011714367
lag_85d_Dai Ngai_Rainfall,0.0011712478
lag_18d_Dai Ngai_Water Level,0.0011573989
lag_29d_Chau Doc_Water Level,0.0011527843
lag_56d_Chau Doc_Water Level,0.0011523918
lag_87d_Can Tho_Rainfall,0.001151152
lag_86d_Can Tho_Rainfall,0.0011477077
lag_29d_Can Tho_Water Level,0.001122941
lag_85d_Dai Ngai_Water Level,0.0011219861
lag_9d_Chau Doc_Water Level,0.0011188565
lag_70d_Can Tho_Water Level,0.0011161715
lag_89d_Can Tho_Rainfall,0.001108159
lag_37d_Chau Doc_Rainfall,0.0011080196
lag_77d_Dai Ngai_Water Level,0.0011054262
lag_51d_Dai Ngai_Water Level,0.0010918761
lag_39d_Chau Doc_Water Level,0.0010825355
lag_85d_Can Tho_Water Level,0.0010749071
lag_56d_Dai Ngai_Rainfall,0.0010723072
lag_5d_Chau Doc_Water Level,0.0010616259
lag_6d_Can Tho_Rainfall,0.0010607998
lag_26d_Chau Doc_Water Level,0.001058267
lag_17d_Dai Ngai_Rainfall,0.0010550523
lag_8d_Chau Doc_Rainfall,0.0010390233
lag_22d_Can Tho_Rainfall,0.001034516
lag_71d_Can Tho_Water Level,0.0010310828
lag_17d_Can Tho_Water Level,0.0010184603
lag_81d_Dai Ngai_Rainfall,0.0010170352
lag_3d_Dai Ngai_Rainfall,0.0010127369
lag_66d_Can Tho_Water Level,0.0009942879
lag_10d_Dai Ngai_Rainfall,0.0009937877
lag_47d_Dai Ngai_Rainfall,0.0009812043
lag_30d_Dai Ngai_Water Level,0.0009793609
lag_39d_Dai Ngai_Rainfall,0.0009776813
lag_70d_Chau Doc_Water Level,0.00097237
lag_22d_Dai Ngai_Water Level,0.000968077
lag_57d_Chau Doc_Water Level,0.00096575206
lag_53d_Dai Ngai_Water Level,0.0009625007
lag_68d_Dai Ngai_Water Level,0.0009584503
lag_20d_Dai Ngai_Water Level,0.00095617457
lag_24d_Can Tho_Water Level,0.00094671967
lag_19d_Dai Ngai_Rainfall,0.00094173144
lag_50d_Can Tho_Water Level,0.00091241463
lag_26d_Chau Doc_Rainfall,0.0008850537
lag_76d_Chau Doc_Water Level,0.0008828812
lag_90d_Dai Ngai_Water Level,0.0008827226
lag_28d_Can Tho_Water Level,0.0008815941
lag_8d_Can Tho_Rainfall,0.0008815528
lag_3d_Chau Doc_Rainfall,0.00087735854
lag_62d_Chau Doc_Water Level,0.0008745841
lag_58d_Chau Doc_Rainfall,0.0008706228
lag_16d_Can Tho_Water Level,0.0008439325
lag_36d_Can Tho_Water Level,0.00083892944
lag_82d_Dai Ngai_Water Level,0.0008373149
lag_54d_Dai Ngai_Water Level,0.0008372023
lag_88d_Dai Ngai_Rainfall,0.00083624636
lag_49d_Can Tho_Water Level,0.000834792
lag_22d_Can Tho_Water Level,0.0008311442
lag_32d_Dai Ngai_Rainfall,0.00082910695
lag_24d_Dai Ngai_Water Level,0.00082613894
lag_16d_Dai Ngai_Water Level,0.0008208989
lag_71d_Chau Doc_Water Level,0.0008187361
lag_55d_Chau Doc_Water Level,0.00081678724
lag_37d_Chau Doc_Water Level,0.0007959851
lag_28d_Dai Ngai_Water Level,0.00078738015
lag_22d_Chau Doc_Water Level,0.0007831438
lag_69d_Can Tho_Rainfall,0.0007735924
lag_77d_Can Tho_Water Level,0.00077305327
lag_87d_Chau Doc_Rainfall,0.0007515152
lag_41d_Can Tho_Rainfall,0.0007502851
lag_44d_Can Tho_Water Level,0.00074443896
lag_29d_Can Tho_Rainfall,0.00073484355
lag_80d_Chau Doc_Water Level,0.0007210278
lag_43d_Can Tho_Rainfall,0.0007186154
lag_12d_Can Tho_Rainfall,0.0007148836
lag_62d_Dai Ngai_Water Level,0.00071119174
lag_75d_Chau Doc_Water Level,0.00070889975
lag_87d_Dai Ngai_Water Level,0.0007049692
lag_8d_Dai Ngai_Water Level,0.000703669
lag_19d_Can Tho_Water Level,0.0006956004
lag_79d_Dai Ngai_Water Level,0.0006894087
lag_45d_Can Tho_Water Level,0.0006893283
lag_7d_Dai Ngai_Water Level,0.00068926375
lag_68d_Chau Doc_Water Level,0.00068810204
lag_57d_Dai Ngai_Water Level,0.0006826414
lag_14d_Dai Ngai_Water Level,0.00068078534
lag_7d_Can Tho_Water Level,0.0006720203
lag_41d_Dai Ngai_Water Level,0.00066197425
lag_59d_Chau Doc_Rainfall,0.0006589859
lag_47d_Chau Doc_Water Level,0.00065483997
lag_78d_Chau Doc_Water Level,0.0006452712
lag_46d_Dai Ngai_Water Level,0.00062551675
lag_72d_Chau Doc_Water Level,0.0006209553
lag_3d_Dai Ngai_Water Level,0.000618747
lag_14d_Can Tho_Rainfall,0.00061804085
lag_75d_Can Tho_Water Level,0.00061675726
lag_48d_Chau Doc_Water Level,0.00060871744
lag_10d_Dai Ngai_Water Level,0.00058802497
lag_49d_Dai Ngai_Water Level,0.00058539404
lag_63d_Chau Doc_Water Level,0.0005711215
lag_1d_Dai Ngai_Rainfall,0.0005643749
lag_66d_Dai Ngai_Water Level,0.0005611202
lag_25d_Can Tho_Water Level,0.0005598513
lag_29d_Dai Ngai_Water Level,0.000557106
lag_79d_Dai Ngai_Rainfall,0.0005533869
lag_42d_Can Tho_Water Level,0.00055026746
lag_68d_Can Tho_Rainfall,0.0005466772
lag_54d_Can Tho_Water Level,0.000533362
lag_27d_Can Tho_Water Level,0.0005253006
lag_4d_Dai Ngai_Rainfall,0.0005165328
lag_85d_Chau Doc_Rainfall,0.0005057392
lag_21d_Can Tho_Water Level,0.00049133843
lag_34d_Can Tho_Water Level,0.0004858361
lag_33d_Can Tho_Water Level,0.0004852392
lag_18d_Chau Doc_Water Level,0.00048083198
lag_58d_Can Tho_Water Level,0.00047277744
lag_77d_Dai Ngai_Rainfall,0.00046031747
lag_11d_Can Tho_Rainfall,0.00045595175
lag_74d_Dai Ngai_Water Level,0.00044370937
lag_32d_Dai Ngai_Water Level,0.00044100676
lag_62d_Chau Doc_Rainfall,0.0004386066
lag_33d_Dai Ngai_Water Level,0.00043709544
lag_58d_Dai Ngai_Rainfall,0.00042684757
lag_13d_Can Tho_Water Level,0.00042540595
lag_78d_Dai Ngai_Rainfall,0.00038818188
lag_33d_Chau Doc_Water Level,0.0003770091
lag_19d_Dai Ngai_Water Level,0.00037418716
lag_14d_Chau Doc_Water Level,0.0003626933
lag_41d_Chau Doc_Rainfall,0.00035985393
lag_51d_Chau Doc_Water Level,0.00034498516
lag_1d_Can Tho_Rainfall,0.00033583125
lag_25d_Dai Ngai_Water Level,0.00032131968
lag_19d_Can Tho_Rainfall,0.00029769493
lag_60d_Dai Ngai_Rainfall,0.00028748994
lag_53d_Can Tho_Rainfall,0.00028585753
lag_37d_Dai Ngai_Water Level,0.00028364442
lag_11d_Dai Ngai_Water Level,0.00025936952
lag_43d_Chau Doc_Rainfall,0.00024175443
lag_75d_Can Tho_Rainfall,0.00022697206
lag_14d_Chau Doc_Rainfall,0.00022490809
lag_37d_Can Tho_Rainfall,0.00022487214
lag_34d_Chau Doc_Water Level,0.00021808807
lag_22d_Chau Doc_Rainfall,0.00021262083
lag_75d_Dai Ngai_Rainfall,0.00020440866
lag_64d_Dai Ngai_Rainfall,0.00018650979
lag_12d_Dai Ngai_Water Level,0.000185736
lag_32d_Can Tho_Water Level,0.00018453204
lag_27d_Can Tho_Rainfall,0.00018112538
lag_56d_Can Tho_Rainfall,0.00016583172
lag_4d_Can Tho_Rainfall,0.00015726792
lag_29d_Dai Ngai_Rainfall,0.00015503982
lag_34d_Can Tho_Rainfall,0.00014138754
lag_35d_Can Tho_Rainfall,0.00012479762
lag_5d_Can Tho_Rainfall,0.00010930352
lag_62d_Dai Ngai_Rainfall,0.00010730005
lag_21d_Can Tho_Rainfall,8.287995e-05
lag_12d_Dai Ngai_Rainfall,0.0
lag_13d_Can Tho_Rainfall,0.0
lag_83d_Dai Ngai_Rainfall,0.0
lag_13d_Chau Doc_Rainfall,0.0
lag_89d_Dai Ngai_Rainfall,0.0
lag_33d_Can Tho_Rainfall,0.0
lag_30d_Dai Ngai_Rainfall,0.0
lag_86d_Dai Ngai_Rainfall,0.0
lag_31d_Can Tho_Rainfall,0.0
lag_31d_Chau Doc_Rainfall,0.0
lag_32d_Chau Doc_Rainfall,0.0
lag_31d_Dai Ngai_Rainfall,0.0
lag_80d_Chau Doc_Rainfall,0.0
lag_85d_Can Tho_Rainfall,0.0
lag_84d_Dai Ngai_Rainfall,0.0
lag_89d_Chau Doc_Rainfall,0.0
lag_57d_Can Tho_Rainfall,0.0
lag_81d_Chau Doc_Rainfall,0.0
lag_33d_Dai Ngai_Rainfall,0.0
lag_30d_Chau Doc_Rainfall,0.0
lag_34d_Chau Doc_Rainfall,0.0
lag_34d_Dai Ngai_Rainfall,0.0
lag_35d_Chau Doc_Rainfall,0.0
lag_35d_Dai Ngai_Rainfall,0.0
lag_36d_Can Tho_Rainfall,0.0
lag_36d_Chau Doc_Rainfall,0.0
lag_26d_Dai Ngai_Rainfall,0.0
lag_53d_Chau Doc_Rainfall,0.0
lag_53d_Chau Doc_Water Level,0.0
lag_53d_Dai Ngai_Rainfall,0.0
lag_54d_Can Tho_Rainfall,0.0
lag_54d_Chau Doc_Rainfall,0.0
lag_54d_Chau Doc_Water Level,0.0
lag_54d_Dai Ngai_Rainfall,0.0
lag_55d_Can Tho_Rainfall,0.0
lag_55d_Chau Doc_Rainfall,0.0
lag_55d_Dai Ngai_Rainfall,0.0
lag_57d_Chau Doc_Rainfall,0.0
lag_57d_Dai Ngai_Rainfall,0.0
lag_58d_Can Tho_Rainfall,0.0
lag_59d_Can Tho_Rainfall,0.0
lag_59d_Chau Doc_Water Level,0.0
lag_59d_Dai Ngai_Rainfall,0.0
lag_60d_Can Tho_Rainfall,0.0
lag_60d_Chau Doc_Rainfall,0.0
lag_80d_Dai Ngai_Rainfall,0.0
lag_5d_Dai Ngai_Rainfall,0.0
lag_84d_Chau Doc_Rainfall,0.0
lag_61d_Dai Ngai_Rainfall,0.0
lag_61d_Chau Doc_Rainfall,0.0
lag_61d_Can Tho_Rainfall,0.0
lag_62d_Can Tho_Water Level,0.0
lag_7d_Can Tho_Rainfall,0.0
lag_7d_Dai Ngai_Rainfall,0.0
lag_51d_Dai Ngai_Rainfall,0.0
lag_62d_Can Tho_Rainfall,0.0
lag_52d_Chau Doc_Rainfall,0.0
lag_52d_Dai Ngai_Rainfall,0.0
lag_23d_Dai Ngai_Rainfall,0.0
lag_24d_Chau Doc_Rainfall,0.0
lag_24d_Dai Ngai_Rainfall,0.0
lag_25d_Chau Doc_Rainfall,0.0
lag_25d_Chau Doc_Water Level,0.0
lag_52d_Can Tho_Rainfall,0.0
lag_26d_Can Tho_Rainfall,0.0
lag_21d_Chau Doc_Rainfall,0.0
lag_21d_Dai Ngai_Rainfall,0.0
lag_21d_Dai Ngai_Water Level,0.0
lag_22d_Dai Ngai_Rainfall,0.0
lag_23d_Can Tho_Rainfall,0.0
lag_23d_Chau Doc_Rainfall,0.0
lag_9d_Can Tho_Rainfall,0.0
lag_63d_Can Tho_Rainfall,0.0
lag_63d_Chau Doc_Rainfall,0.0
lag_63d_Dai Ngai_Rainfall,0.0
lag_64d_Chau Doc_Rainfall,0.0
lag_65d_Chau Doc_Rainfall,0.0
lag_65d_Dai Ngai_Rainfall,0.0
lag_66d_Can Tho_Rainfall,0.0
lag_25d_Dai Ngai_Rainfall,0.0
lag_66d_Dai Ngai_Rainfall,0.0
lag_67d_Can Tho_Rainfall,0.0
lag_67d_Chau Doc_Rainfall,0.0
lag_67d_Dai Ngai_Rainfall,0.0
lag_68d_Chau Doc_Rainfall,0.0
lag_68d_Dai Ngai_Rainfall,0.0
lag_48d_Can Tho_Rainfall,0.0
lag_48d_Chau Doc_Rainfall,0.0
lag_48d_Dai Ngai_Rainfall,0.0
lag_49d_Can Tho_Rainfall,0.0
lag_49d_Dai Ngai_Rainfall,0.0
lag_50d_Can Tho_Rainfall,0.0
lag_50d_Chau Doc_Rainfall,0.0
lag_50d_Chau Doc_Water Level,0.0
lag_51d_Can Tho_Rainfall,0.0
lag_51d_Chau Doc_Rainfall,0.0
lag_69d_Chau Doc_Rainfall,0.0
lag_69d_Dai Ngai_Rainfall,0.0
lag_70d_Can Tho_Rainfall,0.0
lag_70d_Chau Doc_Rainfall,0.0
lag_70d_Dai Ngai_Rainfall,0.0
lag_71d_Can Tho_Rainfall,0.0
lag_18d_Can Tho_Rainfall,0.0
lag_19d_Chau Doc_Rainfall,0.0
lag_20d_Chau Doc_Rainfall,0.0
lag_71d_Chau Doc_Rainfall,0.0
lag_71d_Dai Ngai_Rainfall,0.0
lag_72d_Can Tho_Rainfall,0.0
lag_72d_Dai Ngai_Rainfall,0.0
lag_73d_Can Tho_Rainfall,0.0
lag_73d_Chau Doc_Rainfall,0.0
lag_66d_Chau Doc_Rainfall,0.0
lag_73d_Dai Ngai_Rainfall,0.0
lag_74d_Can Tho_Rainfall,0.0
lag_74d_Dai Ngai_Rainfall,0.0
lag_74d_Chau Doc_Rainfall,0.0
lag_44d_Can Tho_Rainfall,0.0
lag_44d_Chau Doc_Rainfall,0.0
lag_44d_Dai Ngai_Rainfall,0.0
lag_75d_Chau Doc_Rainfall,0.0
lag_45d_Chau Doc_Rainfall,0.0
lag_45d_Chau Doc_Water Level,0.0
lag_45d_Dai Ngai_Rainfall,0.0
lag_46d_Can Tho_Rainfall,0.0
lag_46d_Chau Doc_Rainfall,0.0
lag_46d_Chau Doc_Water Level,0.0
lag_46d_Dai Ngai_Rainfall,0.0
lag_45d_Can Tho_Rainfall,0.0
lag_47d_Can Tho_Rainfall,0.0
lag_47d_Chau Doc_Rainfall,0.0
lag_76d_Chau Doc_Rainfall,0.0
lag_76d_Can Tho_Rainfall,0.0
lag_33d_Chau Doc_Rainfall,0.0
lag_28d_Chau Doc_Water Level,0.0
lag_28d_Dai Ngai_Rainfall,0.0
lag_29d_Chau Doc_Rainfall,0.0
lag_30d_Can Tho_Rainfall,0.0
lag_27d_Chau Doc_Rainfall,0.0
lag_27d_Dai Ngai_Rainfall,0.0
lag_28d_Can Tho_Rainfall,0.0
lag_11d_Chau Doc_Rainfall,0.0
lag_11d_Dai Ngai_Rainfall,0.0
lag_42d_Chau Doc_Rainfall,0.0
lag_42d_Chau Doc_Water Level,0.0
lag_43d_Dai Ngai_Rainfall,0.0
lag_76d_Dai Ngai_Rainfall,0.0
lag_77d_Can Tho_Rainfall,0.0
lag_15d_Chau Doc_Rainfall,0.0
lag_16d_Can Tho_Rainfall,0.0
lag_16d_Chau Doc_Rainfall,0.0
lag_16d_Dai Ngai_Rainfall,0.0
lag_17d_Can Tho_Rainfall,0.0
lag_77d_Chau Doc_Rainfall,0.0
lag_78d_Can Tho_Rainfall,0.0
lag_78d_Chau Doc_Rainfall,0.0
lag_2d_Dai Ngai_Rainfall,0.0
lag_90d_Chau Doc_Rainfall,0.0
lag_37d_Can Tho_Water Level,0.0
lag_38d_Can Tho_Rainfall,0.0
lag_38d_Chau Doc_Rainfall,0.0
lag_38d_Chau Doc_Water Level,0.0
lag_39d_Chau Doc_Rainfall,0.0
lag_40d_Chau Doc_Rainfall,0.0
lag_40d_Dai Ngai_Rainfall,0.0
lag_41d_Can Tho_Water Level,0.0
lag_79d_Can Tho_Rainfall,0.0
lag_79d_Chau Doc_Rainfall,0.0
lag_86d_Chau Doc_Rainfall,0.0
lag_14d_Dai Ngai_Rainfall,0.0
lag_15d_Can Tho_Rainfall,0.0
lag_6d_Dai Ngai_Rainfall,0.0
lag_82d_Chau Doc_Rainfall,0.0
lag_82d_Dai Ngai_Rainfall,0.0
lag_83d_Chau Doc_Rainfall,0.0
lag_90d_Dai Ngai_Rainfall,0.0
lag_87d_Dai Ngai_Rainfall,0.0
