feature,importance
lag_89d_Can Tho_Water Level,0.13327111
lag_88d_Dai Ngai_Water Level,0.043606758
lag_4d_Can Tho_Water Level,0.032023236
lag_82d_Chau Doc_Water Level,0.016547304
lag_11d_Chau Doc_Water Level,0.016254807
lag_2d_Can Tho_Water Level,0.013852883
lag_90d_Chau Doc_Water Level,0.013255611
lag_5d_Can Tho_Water Level,0.01215316
lag_9d_Dai Ngai_Water Level,0.012051205
lag_1d_Chau Doc_Water Level,0.01152118
lag_8d_Dai Ngai_Rainfall,0.011419218
lag_87d_Can Tho_Water Level,0.011340364
lag_31d_Can Tho_Water Level,0.010675744
lag_4d_Dai Ngai_Water Level,0.01037841
lag_32d_Chau Doc_Water Level,0.009316047
lag_18d_Can Tho_Water Level,0.008887416
lag_1d_Dai Ngai_Water Level,0.008461225
lag_65d_Can Tho_Rainfall,0.007480131
lag_9d_Dai Ngai_Rainfall,0.0074533722
lag_4d_Chau Doc_Water Level,0.0073708906
lag_64d_Can Tho_Rainfall,0.007322269
lag_90d_Can Tho_Rainfall,0.007211367
lag_1d_Can Tho_Water Level,0.006503658
lag_82d_Can Tho_Rainfall,0.006314444
lag_10d_Can Tho_Water Level,0.0061647827
lag_7d_Chau Doc_Water Level,0.0061228075
lag_50d_Dai Ngai_Water Level,0.0059599136
lag_73d_Can Tho_Water Level,0.0058239205
lag_56d_Dai Ngai_Water Level,0.005793685
lag_26d_Can Tho_Water Level,0.0056638108
lag_88d_Can Tho_Water Level,0.0056095286
lag_67d_Chau Doc_Water Level,0.0056092804
lag_35d_Can Tho_Water Level,0.005469027
lag_74d_Chau Doc_Water Level,0.005454405
lag_6d_Can Tho_Water Level,0.005327719
lag_2d_Chau Doc_Water Level,0.0052505345
lag_3d_Chau Doc_Water Level,0.005216839
lag_69d_Dai Ngai_Water Level,0.0048932293
lag_61d_Dai Ngai_Water Level,0.004797469
lag_36d_Chau Doc_Water Level,0.004720581
lag_42d_Dai Ngai_Water Level,0.004698294
lag_65d_Dai Ngai_Water Level,0.0045382776
lag_81d_Can Tho_Water Level,0.0044179866
lag_3d_Can Tho_Rainfall,0.0042649275
lag_64d_Dai Ngai_Water Level,0.004231846
lag_65d_Can Tho_Water Level,0.004228335
lag_3d_Can Tho_Water Level,0.004111366
lag_60d_Chau Doc_Water Level,0.004043389
lag_81d_Dai Ngai_Water Level,0.003998528
lag_9d_Chau Doc_Rainfall,0.003994553
lag_11d_Can Tho_Water Level,0.003943779
lag_72d_Can Tho_Water Level,0.0038967635
lag_30d_Can Tho_Water Level,0.0038798233
lag_73d_Dai Ngai_Water Level,0.003818381
lag_89d_Chau Doc_Water Level,0.0038042224
lag_24d_Chau Doc_Water Level,0.0038038124
lag_64d_Chau Doc_Water Level,0.003780507
lag_25d_Can Tho_Rainfall,0.003618993
lag_10d_Chau Doc_Rainfall,0.0035506892
lag_23d_Can Tho_Water Level,0.0034683985
lag_23d_Dai Ngai_Water Level,0.0034479925
lag_20d_Dai Ngai_Rainfall,0.00342951
lag_76d_Dai Ngai_Water Level,0.0034126064
lag_16d_Chau Doc_Water Level,0.0034023924
lag_40d_Can Tho_Water Level,0.0033680273
lag_65d_Chau Doc_Water Level,0.0033200542
lag_85d_Chau Doc_Water Level,0.0033031919
lag_80d_Can Tho_Rainfall,0.003246284
lag_67d_Dai Ngai_Water Level,0.00320937
lag_44d_Dai Ngai_Water Level,0.003197402
lag_73d_Chau Doc_Water Level,0.003185981
lag_36d_Dai Ngai_Water Level,0.0031804752
lag_81d_Can Tho_Rainfall,0.003114028
lag_88d_Chau Doc_Water Level,0.0030981302
lag_27d_Chau Doc_Water Level,0.003090755
lag_81d_Chau Doc_Water Level,0.0030840104
lag_52d_Dai Ngai_Water Level,0.0030199292
lag_31d_Dai Ngai_Water Level,0.0029963765
lag_69d_Can Tho_Water Level,0.0029302032
lag_48d_Dai Ngai_Water Level,0.0029015532
lag_48d_Can Tho_Water Level,0.00289194
lag_76d_Can Tho_Water Level,0.0028850778
lag_88d_Can Tho_Rainfall,0.0028416696
lag_90d_Can Tho_Water Level,0.0028303384
lag_70d_Dai Ngai_Water Level,0.002828016
lag_39d_Can Tho_Rainfall,0.0028227153
lag_67d_Can Tho_Water Level,0.0027778512
